id,exercise_category,exercise_preference,fitness_goal,intensity,exercise_name,description,image_url,video_url,exercise_length,adv_fee
1,1,HIIT,1,0,BEST 15 min Beginner Workout for Fat Burning (NO JUMPING HIIT!!!),"The most suitable for beginners HIIT training, no jumping exercise, low intensity, come to practice!",https://z3.ax1x.com/2021/04/04/cKzbGV.jpg,https://www.youtube.com/watch?v=bleOTMDa3_4,17'00'',0
2,1,HIIT,1,0,10 Min HIIT to burn calories | Standing Full Body Workout - No Equipment,After a quick sweat session? 10 mins hiit workout to get you going. Check out the full 28 day Flat Stomach Challenge below and leave a comment with how you went with this workout.,https://z3.ax1x.com/2021/04/04/cKzq2T.jpg,https://www.youtube.com/watch?v=j5SHMJ6mUoA,11'03'',0
3,1,HIIT,1,0,9-minute HIIT Workout For Beginners to Start Your Fitness Journey,"Ready to get started on your health and fitness journey? Try this 9-minute HIIT workout for beginners and download the 8fit app for more workouts you can do at home (and all the yummy, healthy recipes you could possibly imagine).",https://z3.ax1x.com/2021/04/04/cKzXMF.jpg,https://www.youtube.com/watch?v=jWCm9piAwAU,09'59'',0
4,2,HIIT,1,1,15 MIN FULL BODY HIIT WORKOUT - burn lots of calories / No Equipment I Pamela Reif,"wow - this one is NEXT LEVEL intense :D // Werbung You will definitely sweat and most likely struggle during those 15 minutes .. but that's alright. Just don't quit. But this killer workout burns a lot of calories - and that's what we need sometimes, right?  In those 15min, you will burn anything between 80-150kcal, depending on your weight, height and fitness level. __ No Equipment necessary and not much space needed :) If you need more breaks - TAKE THEM! Don't worry too much about that. You will improve over time :) that's the best feeling! The video is in full length which means you can just follow whatever I’m doing 30s for each exercise. I recommend switching up your workouts to give your muscles enough time to recover and to hit them from different angles. If you want to challenge your body in another way: check out my 10min Ab Workout, 20min Booty Workout or the Song Workouts. ",https://z3.ax1x.com/2021/04/04/cKzLxU.jpg,https://www.youtube.com/watch?v=1skBf6h2ksI,15'29'',1000
5,2,HIIT,1,1,"30 MIN CALORIE KILLER HIIT Workout - Full body Cardio, No Equipment, No Repeat","Here's a killer post-Christmas Cookie Burner workout for you all! Time to get the heart pumping, burn some calories and sweat it out. Grab your mat, a bottle of water and let's do it team! ",https://z3.ax1x.com/2021/04/04/cKzHP0.jpg,https://www.youtube.com/watch?v=jpizoUy4K9s,35'52'',0
6,2,HIIT,1,1,"40 MIN FULL BODY PILATES HIIT | Lose Weight, Feel Great!","It's essentially four workouts in ONE...a one-stop-shop if you will! Let's get that heart rate up, sweat, have some fun, and sculpt the entire body into the figure you've always wanted! The best part is, there is no jumping, no impact, no equipment needed, and small apartment friendly!",https://z3.ax1x.com/2021/04/04/cKzjr4.jpg,https://www.youtube.com/watch?v=TJOpQ1qycfw,42'10'',0
7,3,HIIT,2,0,20 min Full Body HIIT Workout - Beginner Strength - 40s/40s Intervals,This workout includes fundamental movements to build strength and is great for beginners. Work on perfecting your form and then complete as many reps as possible within the interval. Make this a low impact workout but swapping X Jump for Mountain Climbers. ,https://z3.ax1x.com/2021/04/04/cKzzZ9.jpg,https://www.youtube.com/watch?v=Kyv9iJf0gT8,20'09'',0
8,3,HIIT,2,0,30MIN FULL BODY WORKOUT // burn fat & build muscle // no equipment!,It is one of the most intense workouts. The music and exercises were so nice because they had a variety.,https://z3.ax1x.com/2021/04/04/cMSSaR.jpg,https://www.youtube.com/watch?v=8fK0VnI3DLg,32'57'',0
9,3,HIIT,2,0,17 Min Strength Training Workout for Beginners - Beginner Workout Routine at Home for Women & Men,This HIIT video is rather old at this point. Using this video and changing diet slightly.,https://z3.ax1x.com/2021/04/04/cMSpI1.jpg,https://www.youtube.com/watch?v=WIHy-ZnSndA,18'08'',0
10,4,HIIT,2,1,BODYWEIGHT HIIT! FULL BODY HOME WORKOUT! CALORIE BURN & MUSCLE BUILDING! #CrockFitApp​ HomeFit,"Absolutely brilliant workout, the structure and range of exercises is spot on. Legend",https://z3.ax1x.com/2021/04/04/cKzvqJ.jpg,https://www.youtube.com/watch?v=b-VzI-X3C8c,29'05'',0
11,4,HIIT,2,1,30 Min FULL BODY DUMBBELL WORKOUT at Home | Muscle Building,"This is a follow along 30 minute full body dumbbell workout that will target every muscle group with compound movement to help you become stronger, build lean muscle, burn energy for hours after completing and basically leave you feeling awesome!! ",https://z3.ax1x.com/2021/04/04/cMSCPx.jpg,https://www.youtube.com/watch?v=GViX8riaHX4,36'28'',300
12,4,HIIT,2,1,FULL BODY HIIT to BUILD MUSCLE / BURN FAT! (HomeFit1-Cycle2-Day2),That’s was some way to start a Sunday morning!!! Legs are on fire!! ,https://z3.ax1x.com/2021/04/04/cMSPG6.jpg,https://www.youtube.com/watch?v=yD7d8wLlPaE,29'53'',0
13,5,HIIT,3,0,No Equipment INTENSE FULL BODY CRUSHER - HIIT WORKOUT I no repeat I stronger together,So excited to share this Full Body Crusher Workout with you today. 20 Minute Bodyweight Only Workout (No Equipment needed) - No Repeat - Stronger Together! ,https://z3.ax1x.com/2021/04/05/cMi8Ve.jpg,https://www.youtube.com/watch?v=-YpRYNREDV8,24'40'',0
14,5,HIIT,3,0,What is HIIT? 7 Proven HIIT Benefits and How to Do It Properly | The Health Nerd,"This is a training technique where you give an all out effort for a short period of time, followed by a period of rest or active recovery.",https://z3.ax1x.com/2021/04/04/cMSAMD.jpg,https://www.youtube.com/watch?v=dNJ2gG-Jud4,06'54'',0
15,5,HIIT,3,0,20 Minute Heart-Pumping Cardio Workout - No Equipment With Warm-Up & Cool-Down | SELF,"Rhys and Amy take us through a 20 minute cardio workout that's sure to get your heart-pumping. This 3-circuit workout consists of squat thrusts, reverse lunges with knee dives, jumping jacks, leg raises to toe touches, up-down planks, and forearm plank holds. ",https://z3.ax1x.com/2021/04/04/cMSEse.jpg,https://www.youtube.com/watch?v=vncKnAPhgtg,30'55'',0
16,6,HIIT,3,1,21Min Intense Cardio HIIT Workout | No Equipment & Burn Fat Fast | Full Body,"This intense/expert cardio HIIT workout is designed to help you lose weight fast. No equipment for this workout, therefore you can do it anywhere and anytime you like! ",https://z3.ax1x.com/2021/04/04/cMSFxO.jpg,https://www.youtube.com/watch?v=ObePAn7jzJU,22'00'',0
17,6,HIIT,3,1,NO Equipment HIIT Workout,"Because a quick and fast workout is OUR KINDA WORKOUT! Try our 20 minute no equipment HIIT workout for yourself. Keep It Cleaner offers 20 minute workout every day of the week. Not only do we offer HIIT, we also have strength, boxing, pilates, yoga a running program. ",https://z3.ax1x.com/2021/04/04/cMSgoR.jpg,https://www.youtube.com/watch?v=9CWv1WR5xJ0,22'18'',0
18,6,HIIT,3,1,Happy Full Body Fat Burn HIIT That Will Make You Feel Better On A Bad Day | Weight Loss Cardio,Working out with Emi really gives me happiness and motivation. She is like a reliable friend slash exercise buddy who will cheer you up when you are feeling down. ,https://z3.ax1x.com/2021/04/04/cMScw9.jpg,https://www.youtube.com/watch?v=s4fwetu2Px4,18'02'',0
19,7,Zumba,1,0,30 mins BEGINNERS Workout | Lose 3-5 kgs in 1 month | BOLLYWOOD Dance Fitness Workout # 25,Do this daily 30mins Zumba workout to lose fat and lose weight (3-5kgs in 1 month) BEGINNERS Mashup | Super Fun.. Fat Burning Cardio...Bollywood workout Burn 300-350 calories on average,https://z3.ax1x.com/2021/04/04/cMSWJx.jpg,https://www.youtube.com/watch?v=-UqOkg4NBd4,29'47'',0
20,7,Zumba,1,0,15 minute Diet Dance Workout,15 minute Dance Workout. cardio. Choreo by Sunny. Sunny Funny Fitneess.,https://z3.ax1x.com/2021/04/04/cMSRF1.jpg,https://www.youtube.com/watch?v=ULrcDcQabdA,15'15'',0
21,7,Zumba,1,0,Zumba Dance Workout for Beginners Step by Step | Best Dance for Weight Loss,"Zumba involves dance and aerobic movements performed to energetic music. The choreography incorporates hip-hop, soca, samba, salsa, merengue, and mambo. Squats and lunges are also included. Zumba Fitness, the owner of the Zumba program, does not charge licensing fees to gyms or fitness centers. Approximately 15 million people take weekly Zumba classes in over 200,000 locations across 180 countries.",https://z3.ax1x.com/2021/04/04/cMS6eJ.jpg,https://www.youtube.com/watch?v=sdoNOB6w1fY,48'25'',0
22,8,Zumba,1,1,The Most Explosive BTS 600 Calorie Cardio Workout,BTS + WORKOUT? THIS IS WHAT YOU NEED IN YOUR LIFE!,https://z3.ax1x.com/2021/04/04/cMS4SK.jpg,https://www.youtube.com/watch?v=d4oWVMa7gfs,23'58'',0
23,8,Zumba,1,1,30-Minute Cardio Latin Dance Workou,"Zumba is more than just running on a treadmill! This Latin dance workout proves you can get your heart rate up while shaking your hips and shimmying your shoulders. Nicole Steen, a cardio dance expert at Equinox, knows how to keep you moving and to keep it fun. New to dance? No worries, we offer modifications. Press play and get ready to cha-cha. ",https://z3.ax1x.com/2021/04/04/cMS5QO.jpg,https://www.youtube.com/watch?v=8DZktowZo_k,30'38'',0
24,8,Zumba,1,1,40 MIN DANCE PARTY WORKOUT - Do This Everyday To Lose Weight | Zumba Class,Burn your full body and do it everyday! ,https://z3.ax1x.com/2021/04/04/cMSfW6.jpg,https://www.youtube.com/watch?v=Y0jODtTy29U,41'14'',0
25,9,Zumba,2,0,7-Minute STRONG by Zumba Leg Workout,"Get set to sweat with this lower-body workout from STRONG by Zumba. The moves — like squats, lunges, and kicks — are synced to the beat of the music and will have your legs burning! Plus, we’re giving you the chance to win a Zumba Cruise Experience for two and $500 in STRONG by Zumba apparel. ",https://z3.ax1x.com/2021/04/04/cMSIyD.jpg,https://www.youtube.com/watch?v=Eu8yRXjIaJQ,07'31'',0
26,9,Zumba,2,0,15 MIN DANCE PARTY WORKOUT - Full Body/No Equipment,"A full body DANCE cardio routine to some throwback/ 2000's music! A great way to get a sweat on, and it's guaranteed to put a smile on your face! Music from: Beyoncé, Pussy Cat Dolls, Usher, and Rhianna! Dance Fitness!!",https://z3.ax1x.com/2021/04/04/cMSoOe.jpg,https://www.youtube.com/watch?v=1vRto-2MMZo,15'38'',600
27,9,Zumba,2,0,AFRO BRAZIL WORKOUT | 25 MINUTES | FUN CARDIO,"AFRO BRAZIL WORKOUT ! Dansez avec vos amis, votre famille ou même seul(e) à la maison ! N'hésitez pas à me faire vos retours.",https://z3.ax1x.com/2021/04/04/cMS7eH.jpg,https://www.youtube.com/watch?v=VzkPuuvrLGA,25'50'',0
28,10,Zumba,2,1,30-Minute STRONG by Zumba® Cardio and Full-Body Toning Workout,"Get ready for a high-intensity workout that will tone your whole body! Led by STRONG by Zumba® Master Trainer Aurelio Figari, this 30-minute session includes high-intensity cardio and muscle-conditioning exercises that are synced to the beat of the music to keep you motivated and focused. Press play and push past your limits for the next 30 minutes. ",https://z3.ax1x.com/2021/04/04/cMSbTA.jpg,https://www.youtube.com/watch?v=QRZcZgSgSHI,33'15'',0
29,10,Zumba,2,1,30-Minute STRONG by Zumba® Cardio and Full-Body Toning Workout,"Get ready for a total-body tone with STRONG by Zumba® — no, this isn't a dance class! It's a high-intensity workout experience where every move is synced to the beat. We have expert trainer Ai Lee Syarief, plus her crew Ainsley Rodriguez and Anna Renderer to lead us through it. ",https://z3.ax1x.com/2021/04/05/cMiJ5d.jpg,https://www.youtube.com/watch?v=bm4WZyH5p2I,30'05'',0
30,10,Zumba,2,1,"Taki Taki - DJ Snake ft. Selena Gomez, Ozuna, Cardi B | Caleb Marshall | Dance Workout",A fun easy to follow cardio dance fitness routine to DJ Snake's track Taki Taki.,https://z3.ax1x.com/2021/04/04/cMSHwd.jpg,https://www.youtube.com/watch?v=VZOBjI-Vm8w,04'08'',0
31,11,Zumba,3,0,BLACKPINK Zumba Dance Workout Lovesick Girls w/ As If It's Your Last,Burn those calories and dance along to BLACKPINK's newest release Lovesick Girls paired with the classic As If It's Your Last in this zumba dance workout! This full body cardio workout incorporates a lot of easy-to-follow dance moves from BLACKPINK's choreography. ,https://z3.ax1x.com/2021/04/04/cMSOYt.jpg,https://www.youtube.com/watch?v=cZCxkLwUsFI,08'04'',0
32,11,Zumba,3,0,"TWICE ""I Can't Stop Me"" Full Body Cardio Dance Workout","~ I can't stop, I can't stop me ~ Dance along to my new favorite TWICE song in this I Can't Stop Me dance workout! This quick cardio workout incorporates TWICE's dance moves with full body exercises to get your heart rate up and burn those calories.",https://z3.ax1x.com/2021/04/04/cMSvSf.jpg,https://www.youtube.com/watch?v=TjKQ1prslWw,04'10'',0
33,11,Zumba,3,0,"K-POP DANCE WORKOUT! (BLACKPINK, BTS, TWICE, Red Velvet, ITZY)","I love the energy and vibes of K-pop, so I hope you enjoy this dance workout as much as I did creating it! ",https://z3.ax1x.com/2021/04/04/cMSxl8.jpg,https://www.youtube.com/watch?v=DT4RiXAMx9A,13'11'',0
34,12,Zumba,3,1,30 Mins Aerobic Dance Workout - Bipasha Basu Break free Full Routine - Full Body Workout,"This 30-minute dance workout improves stamina, endurance and strengthens the abdominal muscles. A total body workout Break Free is a complete stress buster which allows you to have fun while you burn fat. ",https://z3.ax1x.com/2021/04/04/cMSXfP.jpg,https://www.youtube.com/watch?v=tj9d6aBOzDo,29'59'',0
35,12,Zumba,3,1,HOME WORKOUT // 25 MIN. DANCE WORKOUT // TANJU,"The video is in full length which means you just follow whatever your FITSEVENELEVEN coach is doing. Don’t worry, if you’re not getting all the steps right at the first try - it’s just about movement and having fun! ",https://z3.ax1x.com/2021/04/04/cMp9mQ.jpg,https://www.youtube.com/watch?v=PcuL6L8xqRE,25'39'',0
36,12,Zumba,3,1,[MIRRORED] KPOP RANDOM PLAY DANCE 2020,Today we will be sweating and smiling to some k-pop hits! ,https://z3.ax1x.com/2021/04/04/cMSz6S.jpg,https://www.youtube.com/watch?v=zjtqL9sccXo,29'03'',0
37,13,Yoga,1,0,15 minute Morning Yoga for Beginners  WEIGHT LOSS edition  Beginners Yoga Workout,"Get on your mat for this simple 15 minute morning yoga for beginners  WEIGHT LOSS edition  for a fat burning beginners yoga workout to tone, strengthen & stretch. Practice this 15 minute yoga workout 3x/week until you feel comfortable then move on to a video in the  BEGINNER YOGA ",https://z3.ax1x.com/2021/04/04/cMpSOg.jpg,https://www.youtube.com/watch?v=m756Gz8de4M,14'00'',0
38,13,Yoga,1,0,Yoga Weight Loss Challenge! 30 Minute Fat Burning Yoga Workout Beginners & Intermediate,This video explains how to do massage work on the back using Trigger Point techniques and neuromuscular therapy.,https://z3.ax1x.com/2021/04/05/cMiN8I.jpg,https://www.youtube.com/watch?v=t7RhG0CEbVw,31'10'',0
39,13,Yoga,1,0,"10 Min Yoga for Weight Loss | Beginner-Intermediate Flow with Sheena, Short Yoga Class At Home",On the mat for a short class to ignite your metabolism and work the full body in just 10 minutes.,https://z3.ax1x.com/2021/04/04/cMpPTs.jpg,https://www.youtube.com/watch?v=UaAPnsYKNYs,10'54'',0
40,14,Yoga,1,1,Detox Yoga For Weight Loss & Digestion | Yogic Immune System Boost,"Yoga, Wanderlust, Fitness, Vegan food, Conscious Living, and Meditation!",https://z3.ax1x.com/2021/04/04/cMpFkn.jpg,https://www.youtube.com/watch?v=JdcmIkFCzfI,23'45'',0
41,14,Yoga,1,1,Yoga Tone | Yoga For Weight Loss | Yoga With Adriene,This 20-minute vinyasa practice is designed to help you build strength and endurance - mindfully. Yoga Tone invites strong breath to help tone the body! Invite your mind and body to start working for you instead of against you. Get strong with regular practice and comfortable in your beautiful body. Stay present. ,https://z3.ax1x.com/2021/04/04/cMpkYq.jpg,https://www.youtube.com/watch?v=4O-b24WKdYA,22'30'',0
42,14,Yoga,1,1,30 MIN Full body Pilates workout // Strengthen and Toning | 14 Day Full Body Challenge,"Pilates has really helped me tone my body and strengthen all the small muscles. I find this to be a great way to train strength, balance and core and hope you do too!",https://z3.ax1x.com/2021/04/04/cMpAf0.jpg,https://www.youtube.com/watch?v=q2tsxvq7IPo,31'59'',0
43,15,Yoga,2,0,Pilates Workout for Long & Lean Muscle at Home Workout | No Equipment Needed | Blast10™,A great 25 Min Pilates workout to get those muscles longer and learner. ,https://z3.ax1x.com/2021/04/05/cMiGUH.jpg,https://www.youtube.com/watch?v=eKnNDcefXIQ,28'50'',200
44,15,Yoga,2,0,"Refresh, Relax, and Restore: Stretching, Pilates, Yoga Workout for Tight Muscles","Stretch away your tension, worries, and aches with this low impact workout that can improve both flexibility and mood.",https://z3.ax1x.com/2021/04/04/cMpum4.jpg,https://www.youtube.com/watch?v=Pp8UNgkcAYs,32'17'',0
45,15,Yoga,2,0,Full Body Yoga for Strength & Flexibility | 25 Minute At Home Mobility Routine,"Powerful Yoga Workout for Strength & Flexibility. Join us for a 25 Minute Flow. Open the hips, the shoulders, and tap into your core strength.",https://z3.ax1x.com/2021/04/04/cMpVpV.jpg,https://www.youtube.com/watch?v=Eml2xnoLpYE,25'37'',0
46,16,Yoga,2,1,25 Minute Intermediate Power Yoga Workout for Strength | Breathe and Flow Yoga,This is a quick 25 minute full body strength Breathe and Flow yoga workout that will help you build real strength. Give your best and have fun!,https://z3.ax1x.com/2021/04/04/cMpe6U.jpg,https://www.youtube.com/watch?v=CyWbOoKJIKk,26'22'',0
47,16,Yoga,2,1,Yoga Routine For Strength & Flexibility | ALL LEVELS (Follow Along),"Here is a Yoga routine with the perfect balance of strength moves & flexibility poses get the best out of both worlds! We will be working on improving our shoulder and core stability as well as stretching our hamstrings, shoulders, hip flexors, quads, hips and basically our entire body. This routine can be done first time in the morning to energize your day or mid-afternoon as well! Feel free to do what you can and to modify the routine by making it harder or easier depending on your own level. Remember that it is your practice, so forget about how the poses look and just focus on understanding and learning about your body! Happy practice my friends =) Namaste!",https://z3.ax1x.com/2021/04/04/cMpmXF.jpg,https://www.youtube.com/watch?v=b6IFkfSj4Jo,37'31'',0
48,16,Yoga,2,1,30 min Pilates Full Body Workout with Lottie Murphy,"A Pilates workout consists of low-impact flexibility, muscular strength and endurance movements perfect for all levels from begginers to fitness experts. Engage your entire body over this 30 minute mat routine, then flow into a relaxing cool down. ",https://z3.ax1x.com/2021/04/05/cMitPA.jpg,https://www.youtube.com/watch?v=qyeB2Wdh3cc,33'27'',0
49,17,Yoga,3,0,5 MIN FLAT BELLY PILATES AB Workout//NO EQUIPMENT//14 Day Challenge,Strengthen and tighten the core.,https://z3.ax1x.com/2021/04/04/cMpM79.jpg,https://www.youtube.com/watch?v=vt-9sMWqUsc,06'13'',0
50,17,Yoga,3,0,15 Minute Full Body Pilates Workout | Good Moves | Well+Good,"Ready to lengthen, strengthen, and tone your full body? Watch and follow along as East River Pilates trainer, Chloe Gregor, takes you through a 15 minute at-home full body workout to work your arms, abs, legs, obliques, and back! Prepare to PERSPIRE! The best part? No equipment necessary. Roll, rotate, and pulse your way to a stronger bod!",https://z3.ax1x.com/2021/04/04/cMp3fx.jpg,https://www.youtube.com/watch?v=510FdqCvZ-k,16'27'',0
51,17,Yoga,3,0,BLACKPINK INSPIRED PILATES WORKOUT! | Workout Like Jennie & Rosé | MishMe,"Here's a 7-Minute BLACKPINK Inspired PILATES Workout (NO EQUIPMENT)! I saw Jennie and Rosé doing some pilates poses and adapted their workout to make a home friendly pilates workout! Pilates improves flexibility, helps with toning/strengthening the muscles, and improves posture (might also help with weight loss). I didn't go over how to do each pose in-depth, so please look up the exercises before trying to execute them (to avoid any injuries).",https://z3.ax1x.com/2021/04/04/cMplkR.jpg,https://www.youtube.com/watch?v=aEwzvh0AtFA,08'58'',0
52,18,Yoga,3,1,40 MIN YOGALATES | Yoga & Pilates Fusion | Sculpt & Burn Fat,"Let’s gain strength, flexibility, and mental clarity while burning fat! This gentle yet intense full body workout is super effective and will have you feeling wonderful on all levels...physically, mentally, and spiritually.",https://z3.ax1x.com/2021/04/04/cMp1t1.jpg,https://www.youtube.com/watch?v=C1sLZFg-4Tg,43'15'',300
53,18,Yoga,3,1,"Ultimate Pilates Toning Workout | 40 Minutes Abs, Glutes, Back | Lottie Murphy","The routine is the ultimate pilates abs, glutes, back and waist workout and will work on toning and lengthening from head to toe but also keep your pilates posture and form. Breathe through the movement and remember every movement matters so stay mindful. ",https://z3.ax1x.com/2021/04/05/cMi4qU.jpg,https://www.youtube.com/watch?v=FQRoS0KsQBo,45'13'',0
54,18,Yoga,3,1,Yoga For Uncertainty | Yoga With Adriene,"Utilizing the tools of yoga through regular practice can serve well beyond a good stretch, particularly in times of uncertainty. This full-length grounding session provides us with the tools to better acknowledge our feelings, regulate the nervous system, reconnect to our core, and learn when to let go. This is the perfect practice to ground with when you are struggling, or feeling off-center. You may also enjoy this class as preventative care to maintain mental, emotional, and physical balance. ",https://z3.ax1x.com/2021/04/05/cMiwKf.jpg,https://www.youtube.com/watch?v=fLlFSWgK2y4,51'39'',0
55,19,Boxing,1,0,ULTIMATE 20 MINUTE BOXING WORKOUT | FAT BURNER 1| NateBowerFitness,"Want to burn fat, learn to throw punches, increase endurance, perform better at sport, live longer, lose weight? Push play. ",https://z3.ax1x.com/2021/04/04/cMpJ1K.jpg,https://www.youtube.com/watch?v=l-eD87X_g9k,21'21'',0
56,19,Boxing,1,0,25-Minute Rumble No-Equipment Cardio-Boxing Workout,Get ready to box it out with Rumble! Founding trainer Dani Burrell and LA founding trainer Leila Leilani are going to lead you through six rounds of boxing and conditioning moves fueled by music. Get ready to lose yourself in this workout! ,https://z3.ax1x.com/2021/04/04/cMpUne.jpg,https://www.youtube.com/watch?v=sgwtp9mF8tI,25'39'',0
57,19,Boxing,1,0,19 Minute Low Impact Beginner Cardio Boxing Workout for Fat Loss and Calorie Burn,"This 19 minute workout uses low impact moves to get your heart pumping and blast fat and burn calories, with no jumping, kicking, or high impact moves. Great for beginners or those new to cardio boxing looking to go slower for form. Also great for those with injuries or joint pain who still want a good cardio workout. Options to take it up or bring it down for your level. ",https://z3.ax1x.com/2021/04/04/cMpa0H.jpg,https://www.youtube.com/watch?v=D1pDHRweBXk,20'15'',0
58,20,Boxing,1,1,20 MINUTE CARDIO AND BOXING WORKOUT FOR WEIGHT LOSS,"This 20 minute boxing and cardio workout will definitely get you sweating, burning calories and blasting fat! Have fun working out! Lose weight and feel great with this routine. Take breaks as needed, but you will get better every and stronger everyday if you push yourself and surpass your limits! ",https://z3.ax1x.com/2021/04/05/cMi0r8.jpg,https://www.youtube.com/watch?v=HEOiIMY4IO8,23'36'',0
59,20,Boxing,1,1,"30-Minute BodyCombat-Inspired Workout With Boxing, Kung Fu, and Muay Thai","This martial arts workout is inspired by Les Mills On Demand's BodyCombat class and blends boxing, kung fu, tae kwon do, capoeira, and muay thai for the ultimate workout. Get ready to have a blast and feel like a champ. ",https://z3.ax1x.com/2021/04/04/cMpd7d.jpg,https://www.youtube.com/watch?v=NmMRFWIokK4,33'55'',0
60,20,Boxing,1,1,Intense Cardio Kickboxing to Lose Weight (Burn 400Cals!),"Get your heart pumping, build stamina, improve coordination and flexibility, and burn calories with this fun and challenging workout. This is a total body workout that engages all the muscles groups. This high-energy workout challenges the beginner and elite athlete alike. If you want to melt fat, complete this!",https://z3.ax1x.com/2021/04/04/cMp0AA.jpg,https://www.youtube.com/watch?v=dOQpX3QsbKw,26'47'',0
61,21,Boxing,2,0,How To “Sculpt” Your Serratus Anterior (STOP Neglecting This Muscle!),It will show you 3 of the best serratus anterior exercises to add to your ab workout to develop your serratus anterior and get it to start firing properly. Let’s start with the push-up plus. ,https://z3.ax1x.com/2021/04/04/cMpDht.jpg,https://www.youtube.com/watch?v=CEiqDwif3b4,09'24'',0
62,21,Boxing,2,0,30 Minute Boxing Heavy Bag HIIT Workout | NateBowerFitness,"30 Minute Boxing Heavy Bag HIIT Workout gives you a massive sweat, killer boxing combinations and will shred excess body weight. Get your gloves on, Push play and get to work. ",https://z3.ax1x.com/2021/04/04/cMpBtI.jpg,https://www.youtube.com/watch?v=kbgkeTTSau8,32'02'',0
63,21,Boxing,2,0,7 MIN ARM BOXING WORKOUT TO TONE YOUR ARMS,"This fun, low-impact boxing workout will help you tone your arms in only 7 minutes! This workout focuses on toning your arms! Try not to take any breaks! Only halfway we can do a quick reset and then get back at it quickly! ",https://z3.ax1x.com/2021/04/04/cMps9P.jpg,https://www.youtube.com/watch?v=BrGodSovWDs,08'09'',800
64,22,Boxing,2,1,Ultimate 20 Minute Boxing Strength and Conditioning Workout | NateBowerFitness,"This video offers boxing workouts, heavy bag workouts, high intensity interval training, motivation, timed session workout routines, and more. ",https://z3.ax1x.com/2021/04/04/cMp2ng.jpg,https://www.youtube.com/watch?v=AS73HBgY1ps,25'05'',0
65,22,Boxing,2,1,17 min Full Body Box HIIT with Jaws,"Time to test your jabs and hooks with this high-intensity workout from Julie Nelson, aka Jaws. It integrates boxing and HIIT to give you a full-body burn, fast. Challenge yourself with four rounds of pure cardio, plus active recoveries. All you need is your fists but if you want to work harder, add a set of hand weights! When you’re ready, grab your towel, water and press play!",https://z3.ax1x.com/2021/04/04/cMpy1f.jpg,https://www.youtube.com/watch?v=yVrcrOMWdMY,18'21'',0
66,22,Boxing,2,1,4 Round Boxing Workout At-Home with Coach PJ,"In this workout you will be doing the following basic boxing punches including jab, cross, lead hook, rear hook, lead uppercut and rear uppercut.",https://z3.ax1x.com/2021/04/04/cMp6c8.jpg,https://www.youtube.com/watch?v=Cx6JfrRO4eA,23'36'',0
67,23,Boxing,3,0,Cardio Kickboxing Workout // Get Ready To SWEAT!,"This cardio workout is full of kickboxing inspired exercises that will get that heart rate up, help burn fat, improve endurance and will have you seriously sweaty by the end!",https://z3.ax1x.com/2021/04/05/cMiBqS.jpg,https://www.youtube.com/watch?v=Hri2rYgOLKI,26'59'',0
68,23,Boxing,3,0,30-Minute At-Home Cardio Boxing and Kickboxing Workout,Torch calories with this cardio boxing and kickboxing workout with Equinox's The Cut. Christa DiPaolo is going to take you through a high-intensity workout to get your heart rate up and sculpt your lower body. Get ready for a booty burn while you torch calories! ,https://z3.ax1x.com/2021/04/04/cMpRBQ.jpg,https://www.youtube.com/watch?v=fVWCFssd6bA,35'32'',0
69,23,Boxing,3,0,TONED ARMS in 14 Days (fat burn boxing) | 10 minute Home Workout,"Ten minutes of fat burning exercise at home will make your arms toned and slim in just 14 days. These upper body, shoulder and arm boxing exercises will help you understand how to reduce arm fat while slimming your arms at home.",https://z3.ax1x.com/2021/04/05/cMiHi9.jpg,https://www.youtube.com/watch?v=UTRJxAHqFVo,11'12'',0
70,24,Boxing,3,1,12 MIN BOXER ABS | BOXER AB WORKOUT | AT HOME AB WORKOUT,"This 12 minute boxer abs workout is such a great way to mix up your at home ab workout routine. If you don't already know we LOVE great ab workouts at home, and although we tend to do a lot of 5 minute ab workouts - we can't help but feel like 12 minutes is the perfect burn time to get the abs really feeling it immediately, but also the next day.",https://z3.ax1x.com/2021/04/05/cMibGR.jpg,https://www.youtube.com/watch?v=ckVMD5iEHzU,12'10'',0
71,24,Boxing,3,1,30-Minute Dance and Cardio Kickboxing Workout,"Get ready to PUSH your limits with this dance and cardio kickboxing workout from Joseph D. You're in for a killer workout, and Joseph's infectious energy will have you smiling while you kick, pop it, and squat. Get ready to sweat! ",https://z3.ax1x.com/2021/04/05/cMioa4.jpg,https://www.youtube.com/watch?v=EcqYeThduWk,29'39'',0
72,24,Boxing,3,1,Boxing Workout For Beginners ,"You can do this workout at home with or without a punching bag. If you don't have a heavy bag, you can shadowbox following along to the workout.  In this workout you will be doing the following basic boxing punches including jab, cross, lead hook, rear hook, lead uppercut and rear uppercut.",https://z3.ax1x.com/2021/04/05/cMFPJA.jpg,https://www.youtube.com/watch?v=7CaSOPmlLxU,5'41'',0
